pist01-har_Seq21.wav, 2 0 128 5 31 0 115. 4.173 184.744507 0.089149 0.518051 0. 264.992401;
pist01-har_Seq22.wav, 2 0 128 5 31 0 115. 4.434 119.341331 0.130121 0.421005 0. 182.356903;
pist01-har_Seq23.wav, 2 0 128 5 31 0 115. 4.173 230.402313 0.114625 0.459271 0.239636 275.254791;
pist01-har_Seq24.wav, 2 0 128 5 31 0 115. 4.173 211.362869 0.086345 0.486868 0. 271.799072;
pist01-har_Seq25.wav, 2 0 128 5 31 0 115. 4.173 232.644379 0.110701 0.471244 0.239636 284.046234;
pist01-har_Seq26.wav, 2 0 128 5 31 0 115. 4.173 216.239334 0.087845 0.493413 0. 276.840698;
pist01-har_Seq27.wav, 2 0 128 5 31 0 115. 4.173 822.204712 0.006965 0.59898 0. 490.2258;
pist01-mel_Seq01.wav, 3 0 128 5 31 0 115. 4.173 1531.592163 0.014075 0.650692 0.958543 735.741699;
pist01-mel_Seq02.wav, 3 0 128 5 31 0 115. 4.173 1394.487915 0.021959 0.646161 0.958543 521.608582;
pist01-mel_Seq03.wav, 3 0 128 5 31 0 115. 4.173 866.500366 0.031455 0.606489 0.958543 528.57251;
pist01-mel_Seq04.wav, 3 0 128 5 31 0 115. 4.173 905.561646 0.031424 0.614398 0.958543 589.432861;
pist01-mel_Seq05.wav, 3 0 128 5 31 0 115. 4.173 1298.442139 0.01547 0.641871 0.718907 723.865845;
pist01-mel_Seq06.wav, 3 0 128 5 31 0 115. 4.173 1218.217773 0.021678 0.632038 0.958543 474.40979;
pist01-mel_Seq07.wav, 3 0 128 5 31 0 115. 4.173 777.491028 0.033416 0.594888 0.718907 507.842773;
pist01-mel_Seq08.wav, 3 0 128 5 31 0 115. 4.173 911.934204 0.032248 0.614265 0.958543 585.849731;
pist01-mel_Seq09.wav, 3 0 128 5 31 0 115. 4.173 1301.216797 0.016619 0.639217 1.437815 711.234741;
pist01-mel_Seq10.wav, 3 0 128 5 31 0 115. 4.173 1262.267944 0.022679 0.638631 0.479272 443.416504;
pist01-mel_Seq11.wav, 3 0 128 5 31 0 115. 4.173 772.322693 0.02983 0.598886 0.718907 496.374786;
pist01-mel_Seq12.wav, 3 0 128 5 31 0 115. 4.434 1159.831787 0.032386 0.622249 0.67659 611.163086;
pist01-mel_Seq13.wav, 3 0 128 5 31 0 115. 4.173 1156.830688 0.017398 0.656252 0.718907 606.894348;
pist01-mel_Seq14.wav, 3 0 128 5 31 0 115. 4.173 1117.046631 0.025293 0.644395 0.479272 438.669983;
pist01-mel_Seq15.wav, 3 0 128 5 31 0 115. 4.173 1190.630737 0.021154 0.653449 1.198179 527.460999;
